id;project;gitLink
1;elastic/elasticsearch;https://github.com/elastic/elasticsearch.git
2;ReactiveX/RxJava;https://github.com/ReactiveX/RxJava.git
3;square/okhttp;https://github.com/square/okhttp.git
4;square/retrofit;https://github.com/square/retrofit.git
5;spring-projects/spring-framework;https://github.com/spring-projects/spring-framework.git
6;apache/dubbo;https://github.com/apache/dubbo.git
7;PhilJay/MPAndroidChart;https://github.com/PhilJay/MPAndroidChart.git
8;bumptech/glide;https://github.com/bumptech/glide.git
9;airbnb/lottie-android;https://github.com/airbnb/lottie-android.git
10;facebook/fresco;https://github.com/facebook/fresco.git